site,azimuth_a,azimuth_b,n_kp_a,n_kp_b,n_good,n_inliers,dcx,h_scale,s_area,d_area
pyronear-sdis-07_serre-de-barre,150,310,56,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,318,56,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,350,56,250,6,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,173,41,19,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,203,41,484,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,250,41,342,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,257,41,447,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,270,41,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,300,41,775,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,310,41,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,318,41,2001,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,350,41,250,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,203,19,484,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,250,19,342,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,257,19,447,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,270,19,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,300,19,775,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,310,19,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,318,19,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,350,19,250,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,203,270,484,14,33,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,250,270,342,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,250,318,342,2001,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,257,270,447,14,32,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,257,300,447,775,26,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,300,14,775,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,310,14,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,318,14,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,350,14,250,0,0,0.0,,0.0,0.0
pyronear-sdis-12_fontaneilles,216,257,434,503,77,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,28,218,2000,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,28,254,2000,2001,12,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,28,264,2000,1712,6,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,100,569,49,9,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,209,569,295,6,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,254,569,2001,9,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,337,569,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,48,83,2000,6,151,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,48,100,2000,49,7,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,48,218,2000,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,100,6,49,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,112,6,1310,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,113,6,1243,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,136,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,150,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,200,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,209,6,295,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,213,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,218,6,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,246,6,831,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,250,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,254,6,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,264,6,1712,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,300,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,315,6,1277,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,337,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,346,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,350,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,357,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,112,49,1310,1,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,136,49,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,150,49,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,200,49,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,209,49,295,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,213,49,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,218,49,2001,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,246,49,831,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,250,49,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,254,49,2001,1,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,264,49,1712,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,300,49,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,315,49,1277,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,337,49,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,346,49,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,350,49,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,357,49,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,113,213,1243,2000,6,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,113,264,1243,1712,10,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,113,300,1243,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,218,295,2001,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,250,295,2000,4,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,254,295,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,300,295,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,315,295,1277,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,337,295,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,346,295,2000,8,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,209,350,295,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,254,300,2001,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,254,357,2001,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,0,30,2002,2002,7,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,0,40,2002,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,0,78,2002,25,14,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,0,265,2002,449,11,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,0,316,2002,416,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,30,810,2002,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,40,810,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,50,810,79,10,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,64,810,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,78,810,25,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,100,810,1172,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,110,810,638,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,161,810,341,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,200,810,536,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,212,810,392,6,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,220,810,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,246,810,1945,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,250,810,342,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,294,810,49,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,300,810,358,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,310,810,467,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,8,316,810,416,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,64,2002,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,161,2002,341,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,212,2002,392,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,220,2002,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,246,2002,1945,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,250,2002,342,6,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,300,2002,358,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,30,316,2002,416,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,40,64,2000,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,40,78,2000,25,13,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,59,79,96,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,78,79,25,25,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,100,79,1172,19,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,150,79,142,8,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,161,79,341,7,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,200,79,536,17,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,220,79,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,246,79,1945,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,250,79,342,26,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,50,300,79,358,8,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,64,96,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,78,96,25,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,100,96,1172,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,110,96,638,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,150,96,142,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,161,96,341,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,200,96,536,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,212,96,392,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,220,96,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,246,96,1945,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,250,96,342,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,265,96,449,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,294,96,49,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,300,96,358,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,59,316,96,416,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,78,2000,25,8,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,100,2000,1172,6,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,200,2000,536,9,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,212,2000,392,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,220,2000,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,246,2000,1945,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,265,2000,449,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,64,316,2000,416,7,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,100,25,1172,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,110,25,638,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,161,25,341,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,200,25,536,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,212,25,392,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,220,25,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,246,25,1945,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,250,25,342,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,265,25,449,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,294,25,49,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,300,25,358,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,310,25,467,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,78,316,25,416,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,100,212,1172,392,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,100,220,1172,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,100,246,1172,1945,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,100,316,1172,416,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,161,142,341,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,200,142,536,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,212,142,392,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,220,142,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,246,142,1945,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,250,142,342,9,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,265,142,449,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,150,300,142,358,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,200,220,536,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,200,246,536,1945,1,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,200,310,536,467,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,200,316,536,416,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,212,220,392,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,212,246,392,1945,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,212,250,392,342,14,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,212,310,392,467,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,250,265,342,449,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,265,316,449,416,5,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,294,300,49,358,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,294,310,49,467,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,294,316,49,416,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas,300,310,358,467,3,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,0,350,408,287,6,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,150,393,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,200,393,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,300,393,150,6,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,359,393,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,250,359,2000,2001,5,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,300,350,150,287,1,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,350,359,287,2001,1,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,50,150,1808,2000,12,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,147,246,2000,369,5,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,147,300,2000,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,150,300,2000,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,250,369,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,291,369,2000,7,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,300,369,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,340,369,2000,2,0,0.0,,0.0,0.0
pyronear-sis-67_bischwiller,12,200,2000,2000,7,0,0.0,,0.0,0.0
pyronear-sis-67_bischwiller,12,277,2000,2000,8,0,0.0,,0.0,0.0
pyronear-sis-67_bischwiller,150,300,2000,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,79,115,2001,4,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,100,115,476,2,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,125,115,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,150,115,2000,2,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,172,115,2000,1,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,200,115,2000,2,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,267,115,2000,5,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,300,115,2000,6,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,350,115,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,100,267,476,2000,11,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,100,348,476,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,150,250,2000,1726,6,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-01,15,285,686,153,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-01,60,285,385,153,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-01,60,327,385,269,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-02,100,190,2000,1266,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-02,100,235,2000,2000,9,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-02,146,235,1145,2000,14,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing-01,144,235,580,2000,5,0,0.0,,0.0,0.0
